Name,Code,Description,Field type,NAACC Field,Maximum Extent Practicable Culvert Design,10%-AEP Design Flow Culvert Design,25%-AEP Design Flow Culvert Design,In Report,Units,Accuracy,Citation,WMSCode,Matchcode
Assessed,Assessed,"NAACC Stream Crossing Assessment, 0=No and 1=Yes",,Yes,No,No,No,,,,,Assessed,None
SurveyID,SurveyID,NAACC Survey Identification,,Yes,No,No,No,,,,,SurveyID,None
CrosCode,CrosCode,NAACC Crossing Code (xy and decimal latitude and longitude),,Yes,No,No,No,,,,,CrosCode,None
CrosType,CrosType,Stream Crossing Type (ex. Culvert),,Yes,No,No,No,,,,,CrosType,None
AopNaacc,AopNaacc,"NAACC Stream Crossing Classification (No AOP = 1, Reduced AOP = 2, and Full AOP = 3)",,Yes,No,No,No,,,,,AopNaacc,None
AqScNaac,AqScNaac,NAACC Aquatic Passability Score (0.00 - 1.00) ,,Yes,No,No,No,,,,,AqScNaac,None
DateObsd,DateObsd,Date of Stream Crossing Assessment,,Yes,No,No,No,,,,,DateObsd,None
Eval,Eval,"NAACC Aquatic Passability Evaluation (Severe barrier = 0-0.19, Significant barrier = 0.2-0.39, Moderate barrier = 0.4-0.59, Minor barrier = 0.6-0.79, Insignificant barrier = 0.8-0.99, No barrier = 1.0)",,Yes,No,No,No,,,,,Eval,None
GPSx,GPSx,GPS longitude (decimal degree),,Yes,No,No,No,,,,,GPSx,None
GPSy,GPSy,GPS latitude (decimal degree),,Yes,No,No,No,,,,,GPSy,None
LastUpdat,LastUpdat,Late update to NAACC,,Yes,No,No,No,,,,,LastUpdat,None
Road,Road,Road name,,Yes,No,No,No,,,,,Road,None
CrState,CrState,State name,,Yes,No,No,No,,,,,CrState,None
StrmName,StrmName,Stream name from USGS topographic maps,,Yes,No,No,No,,,,,StrmName,None
CrTown,CrTown,Community name,,Yes,No,No,No,,,,,CrTown,None
Latitude,Latitude,,,Yes,No,No,No,,,,,Latitude,None
Longitud,Longitud,,,Yes,No,No,No,,,,,Longitud,None
gTown,gTown,,,Yes,No,No,No,,,,,gTown,None
gWshed,gWshed,NHD HUC8 watershed name,,Yes,No,No,No,,,,,gWshed,None
gState,gState,,,Yes,No,No,No,,,,,gState,None
NoCross,NoCross,,,Yes,No,No,No,,,,,NoCross,None
Approved,Approved,,,Yes,No,No,No,,,,,Approved,None
Drainage Area,DRNAREA,Area that drains to a point on a stream,Double,No,No,No,No,Yes,Square Miles,0.01,,DRNAREA,None
Mean Basin Elevation,ELEV,Mean basin elevation,Double,No,No,No,No,Yes,Feet,1,USGS Zarriello reports,ELEV,None
Storage Area,LC06STOR,Percentage of water bodies and wetlands determined from the NLCD 2006,Double,No,No,No,No,Yes,%,0.01,USGS Zarriello reports,LC06STOR,None
Mean Basin Slope,BSLDEM10M,Mean basin slope computed from 10 m DEM,Double,No,No,No,No,Yes,%,0.001,USGS Zarriello reports,BSLDEM10M,None
10-year Peakflow,PK10AEP,Maximum instantaneous flow that occurs with a 10% annual exceedance probability,Double,No,No,No,No,Yes,Cubic Feet per second,1,,PK10AEP,None
25-year Peakflow,PK4AEP,Maximum instantaneous flow that occurs with a 4% annual exceedance probability,Double,No,No,No,No,Yes,Cubic Feet per second,1,,PK4AEP,None
50-year Peakflow,PK2AEP,Maximum instantaneous flow that occurs with a 2% annual exceedance probability,Double,No,No,No,No,Yes,Cubic Feet per second,1,,PK2AEP,None
